t_ns,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,light
0,0,0,9.81,0,0,-0.005057839638246697,0,0,0,101325,100
20000000,0,0,9.81,0,0,-0.00438090734278429,0,0,0,101325,100
40000000,0,0,9.81,0,0,-0.0035467219398200374,0,0,0,101325,100
60000000,0,0,9.81,0,0,-0.0043479256393971185,0,0,0,101325,100
80000000,0,0,9.81,0,0,-0.004949898477943547,0,0,0,101325,100
100000000,0,0,9.81,0,0,-0.004818119367628069,0,0,0,101325,100
120000000,0,0,9.81,0,0,-0.00442008972308583,0,0,0,101325,100
140000000,0,0,9.81,0,0,-0.003264546727294097,0,0,0,101325,100
160000000,0,0,9.81,0,0,-0.004967416202799469,0,0,0,101325,100
180000000,0,0,9.81,0,0,-0.004193664429349528,0,0,0,101325,100
200000000,0,0,9.81,0,0,-0.004648956431519592,0,0,0,101325,100
220000000,0,0,9.81,0,0,-0.003830681528374453,0,0,0,101325,100
240000000,0,0,9.81,0,0,-0.0037673995841842806,0,0,0,101325,100
260000000,0,0,9.81,0,0,-0.005392633892138076,0,0,0,101325,100
280000000,0,0,9.81,0,0,-0.002031035619958503,0,0,0,101325,100
300000000,0,0,9.81,0,0,-0.003948505764104826,0,0,0,101325,100
320000000,0,0,9.81,0,0,-0.004558442108756414,0,0,0,101325,100
340000000,0,0,9.81,0,0,-0.004894119815931444,0,0,0,101325,100
360000000,0,0,9.81,0,0,-0.004340431351995698,0,0,0,101325,100
380000000,0,0,9.81,0,0,-0.004086200607832161,0,0,0,101325,100
400000000,0,0,9.81,0,0,-0.0035945922613005304,0,0,0,101325,100
420000000,0,0,9.81,0,0,-0.00410906062927138,0,0,0,101325,100
440000000,0,0,9.81,0,0,-0.0036916408435568185,0,0,0,101325,100
460000000,0,0,9.81,0,0,-0.005518913408812202,0,0,0,101325,100
480000000,0,0,9.81,0,0,-0.004770544916923982,0,0,0,101325,100
500000000,0,0,9.81,0,0,-0.004992353183770531,0,0,0,101325,100
520000000,0,0,9.81,0,0,-0.003970336865922689,0,0,0,101325,100
540000000,0,0,9.81,0,0,-0.0037142863528404273,0,0,0,101325,100
560000000,0,0,9.81,0,0,-0.0053933675741489745,0,0,0,101325,100
580000000,0,0,9.81,0,0,-0.0042605113448047635,0,0,0,101325,100
600000000,0,0,9.81,0,0,-0.0034808820304885694,0,0,0,101325,100
620000000,0,0,9.81,0,0,-0.003315409758872701,0,0,0,101325,100
640000000,0,0,9.81,0,0,-0.0050873286026851105,0,0,0,101325,100
660000000,0,0,9.81,0,0,-0.0036227229935609758,0,0,0,101325,100
680000000,0,0,9.81,0,0,-0.003818674356376802,0,0,0,101325,100
700000000,0,0,9.81,0,0,-0.004494382565496742,0,0,0,101325,100
720000000,0,0,9.81,0,0,-0.0024009043252519674,0,0,0,101325,100
740000000,0,0,9.81,0,0,-0.005090231796132467,0,0,0,101325,100
760000000,0,0,9.81,0,0,-0.004356020160694994,0,0,0,101325,100
780000000,0,0,9.81,0,0,-0.003717080405511523,0,0,0,101325,100
800000000,0,0,9.81,0,0,-0.003901807794228073,0,0,0,101325,100
820000000,0,0,9.81,0,0,-0.004263403376898386,0,0,0,101325,100
840000000,0,0,9.81,0,0,-0.002912403354457269,0,0,0,101325,100
860000000,0,0,9.81,0,0,-0.0028526645767584418,0,0,0,101325,100
880000000,0,0,9.81,0,0,-0.003317508412643283,0,0,0,101325,100
900000000,0,0,9.81,0,0,-0.0032398653144163647,0,0,0,101325,100
920000000,0,0,9.81,0,0,-0.004161902787420847,0,0,0,101325,100
940000000,0,0,9.81,0,0,-0.005130441818191355,0,0,0,101325,100
960000000,0,0,9.81,0,0,-0.002204766718557838,0,0,0,101325,100
980000000,0,0,9.81,0,0,-0.00494956144174284,0,0,0,101325,100
1000000000,0,0,9.81,0,0,-0.002168557373710413,0,0,0,101325,100
1020000000,0,0,9.81,0,0,-0.004224886813745291,0,0,0,101325,100
1040000000,0,0,9.81,0,0,-0.003911671531858638,0,0,0,101325,100
1060000000,0,0,9.81,0,0,-0.004261579946836336,0,0,0,101325,100
1080000000,0,0,9.81,0,0,-0.0032778520507498066,0,0,0,101325,100
1100000000,0,0,9.81,0,0,-0.004557347817856097,0,0,0,101325,100
1120000000,0,0,9.81,0,0,-0.002505467366706244,0,0,0,101325,100
1140000000,0,0,9.81,0,0,-0.0036470655870572567,0,0,0,101325,100
1160000000,0,0,9.81,0,0,-0.003961576152706448,0,0,0,101325,100
1180000000,0,0,9.81,0,0,-0.004611447528158112,0,0,0,101325,100
1200000000,0,0,9.81,0,0,-0.0038691367678516005,0,0,0,101325,100
1220000000,0,0,9.81,0,0,-0.004116799373584392,0,0,0,101325,100
1240000000,0,0,9.81,0,0,-0.0024559186318419603,0,0,0,101325,100
1260000000,0,0,9.81,0,0,-0.003297051059903334,0,0,0,101325,100
1280000000,0,0,9.81,0,0,-0.005475309302720073,0,0,0,101325,100
1300000000,0,0,9.81,0,0,-0.0027795767703524986,0,0,0,101325,100
1320000000,0,0,9.81,0,0,-0.006184954748298789,0,0,0,101325,100
1340000000,0,0,9.81,0,0,-0.0027693331092761616,0,0,0,101325,100
1360000000,0,0,9.81,0,0,-0.00575978993894615,0,0,0,101325,100
1380000000,0,0,9.81,0,0,-0.004113295898620026,0,0,0,101325,100
