dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,-0.380515,8.7131,1.7890,-3.6995,1,584.647,-1409.482
0.1000,-0.378757,-1.0000,1.7890,-3.4064,1,584.647,-1409.482
0.1000,-0.378638,-1.0000,1.7890,-3.6195,1,584.647,-1409.482
0.1000,-0.378907,-1.0000,1.7890,-2.2097,1,584.647,-1409.482
0.1000,-0.379072,-1.0000,1.7890,-3.6854,1,584.647,-1409.482
0.1000,-0.379051,-1.0000,1.7890,-3.4374,1,584.647,-1409.482
0.1000,-0.377872,-1.0000,1.7890,-3.8215,1,584.647,-1409.482
0.1000,-0.379181,-1.0000,1.7890,-2.9043,1,584.647,-1409.482
0.1000,-0.380459,-1.0000,1.7890,-4.1250,1,584.647,-1409.482
0.1000,-0.378361,-1.0000,1.7890,-3.5635,1,584.647,-1409.482
0.1000,-0.381296,5.9307,1.5637,-2.9412,1,584.647,-1409.482
0.1000,-0.378181,-1.0000,1.5637,-4.2043,1,584.647,-1409.482
0.1000,-0.378760,-1.0000,1.5637,-3.5880,1,584.647,-1409.482
0.1000,-0.379526,-1.0000,1.5637,-3.5937,1,584.647,-1409.482
0.1000,-0.380019,-1.0000,1.5637,-3.7120,1,584.647,-1409.482
0.1000,-0.378748,-1.0000,1.5637,-4.4805,1,584.647,-1409.482
0.1000,-0.379439,-1.0000,1.5637,-3.6093,1,584.647,-1409.482
0.1000,-0.380368,-1.0000,1.5637,-2.6433,1,584.647,-1409.482
0.1000,-0.379421,-1.0000,1.5637,-2.2191,1,584.647,-1409.482
0.1000,-0.379180,-1.0000,1.5637,-2.5023,1,584.647,-1409.482
0.1000,-0.380062,17.5018,2.9788,-2.7496,1,584.647,-1409.482
0.1000,-0.379074,-1.0000,2.9788,-3.2471,1,584.647,-1409.482
0.1000,-0.378494,-1.0000,2.9788,-4.2050,1,584.647,-1409.482
0.1000,-0.379708,-1.0000,2.9788,-2.4637,1,584.647,-1409.482
0.1000,-0.379121,-1.0000,2.9788,-4.1181,1,584.647,-1409.482
